"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"162","logit",2000,0.05,2,"median_adj",0.0123,0.0123,0.1255,0.126,0.97,0
"163","logit",2000,0.05,2,"raw",-0.0055,-0.0055,0.13,0.13,0.968,0
"164","logit",2000,0.05,2,"topcode",0.0104,0.0104,0.1319,0.1321,0.964,0
"165","logit",2000,0.05,3,"mean_adj",-0.0011,-0.0011,0.1314,0.1312,0.952,0
"166","logit",2000,0.05,3,"median_adj",0.0043,0.0043,0.1344,0.1343,0.954,0
"167","logit",2000,0.05,3,"raw",0.0147,0.0147,0.1336,0.1343,0.948,0
"168","logit",2000,0.05,3,"topcode",-0.0025,-0.0025,0.1295,0.1293,0.966,0
"169","logit",2000,0.1,1,"mean_adj",0.0013,0.0013,0.1388,0.1387,0.942,0
"170","logit",2000,0.1,1,"median_adj",0.0075,0.0075,0.1317,0.1318,0.954,0
"171","logit",2000,0.1,1,"raw",-0.0098,-0.0098,0.131,0.1313,0.946,0
"172","logit",2000,0.1,1,"topcode",-0.0012,-0.0012,0.1309,0.1308,0.972,0
"173","logit",2000,0.1,2,"mean_adj",-0.0043,-0.0043,0.1362,0.1361,0.942,0
"174","logit",2000,0.1,2,"median_adj",-0.0058,-0.0058,0.1342,0.1342,0.952,0
"175","logit",2000,0.1,2,"raw",0,0,0.1319,0.1318,0.948,0
"176","logit",2000,0.1,2,"topcode",-0.0017,-0.0017,0.1298,0.1297,0.96,0
"177","logit",2000,0.1,3,"mean_adj",0.0006,0.0006,0.1322,0.1321,0.96,0
"178","logit",2000,0.1,3,"median_adj",-0.0003,-0.0003,0.1289,0.1288,0.96,0
"179","logit",2000,0.1,3,"raw",0.003,0.003,0.1307,0.1306,0.958,0
"180","logit",2000,0.1,3,"topcode",0.0058,0.0058,0.1326,0.1326,0.95,0
"181","logit",5000,0.01,1,"mean_adj",-0.0034,-0.0034,0.0846,0.0845,0.96,0
"182","logit",5000,0.01,1,"median_adj",0.0016,0.0016,0.0835,0.0835,0.952,0
"183","logit",5000,0.01,1,"raw",-0.0019,-0.0019,0.0833,0.0832,0.96,0
"184","logit",5000,0.01,1,"topcode",-0.0034,-0.0034,0.0819,0.0819,0.954,0
"185","logit",5000,0.01,2,"mean_adj",0.0056,0.0056,0.0832,0.0833,0.954,0
"186","logit",5000,0.01,2,"median_adj",0.0004,0.0004,0.0848,0.0847,0.946,0
"187","logit",5000,0.01,2,"raw",-0.0001,-0.0001,0.085,0.0849,0.95,0
"188","logit",5000,0.01,2,"topcode",-0.0098,-0.0098,0.0888,0.0893,0.93,0
"189","logit",5000,0.01,3,"mean_adj",-0.0051,-0.0051,0.0821,0.0822,0.962,0
"190","logit",5000,0.01,3,"median_adj",-0.0047,-0.0047,0.0825,0.0825,0.962,0
"191","logit",5000,0.01,3,"raw",-0.0022,-0.0022,0.0832,0.0831,0.946,0
"192","logit",5000,0.01,3,"topcode",0.0024,0.0024,0.0822,0.0822,0.952,0
"193","logit",5000,0.05,1,"mean_adj",-0.0035,-0.0035,0.0841,0.0841,0.946,0
"194","logit",5000,0.05,1,"median_adj",-0.0029,-0.0029,0.0796,0.0795,0.962,0
"195","logit",5000,0.05,1,"raw",0.0038,0.0038,0.085,0.085,0.952,0
"196","logit",5000,0.05,1,"topcode",-0.0007,-0.0007,0.082,0.0819,0.952,0
"197","logit",5000,0.05,2,"mean_adj",-0.003,-0.003,0.0855,0.0855,0.95,0
"198","logit",5000,0.05,2,"median_adj",-0.0012,-0.0012,0.0873,0.0872,0.934,0
"199","logit",5000,0.05,2,"raw",0.0041,0.0041,0.0836,0.0836,0.938,0
"200","logit",5000,0.05,2,"topcode",0.0016,0.0016,0.0808,0.0807,0.96,0
"201","logit",5000,0.05,3,"mean_adj",0.0019,0.0019,0.0846,0.0845,0.95,0
"202","logit",5000,0.05,3,"median_adj",0.0001,0.0001,0.0814,0.0813,0.96,0
"203","logit",5000,0.05,3,"raw",0,0,0.0824,0.0823,0.952,0
"204","logit",5000,0.05,3,"topcode",0.0018,0.0018,0.083,0.083,0.972,0
"205","logit",5000,0.1,1,"mean_adj",-0.0018,-0.0018,0.083,0.0829,0.948,0
"206","logit",5000,0.1,1,"median_adj",-0.0013,-0.0013,0.0849,0.0848,0.948,0
"207","logit",5000,0.1,1,"raw",0.0023,0.0023,0.0766,0.0765,0.98,0
"208","logit",5000,0.1,1,"topcode",-0.0067,-0.0067,0.0897,0.0899,0.946,0
"209","logit",5000,0.1,2,"mean_adj",0.001,0.001,0.0887,0.0886,0.944,0
"210","logit",5000,0.1,2,"median_adj",-0.001,-0.001,0.0807,0.0806,0.962,0
"211","logit",5000,0.1,2,"raw",-0.0047,-0.0047,0.0869,0.0869,0.95,0
"212","logit",5000,0.1,2,"topcode",0.0069,0.0069,0.0837,0.0839,0.952,0
"213","logit",5000,0.1,3,"mean_adj",0.0026,0.0026,0.0853,0.0853,0.95,0
"214","logit",5000,0.1,3,"median_adj",0.0003,0.0003,0.0852,0.0851,0.94,0
"215","logit",5000,0.1,3,"raw",-0.0001,-0.0001,0.0868,0.0867,0.934,0
"216","logit",5000,0.1,3,"topcode",0.0072,0.0072,0.0867,0.0869,0.96,0
"217","logols",1000,0.01,1,"mean_adj",0.0167,0.0167,0.2882,0.2884,0.96,0
"218","logols",1000,0.01,1,"median_adj",0.0133,0.0133,0.288,0.288,0.97,0
"219","logols",1000,0.01,1,"raw",0.0313,0.0313,0.2883,0.2897,0.974,0
"220","logols",1000,0.01,1,"topcode",0.0197,0.0197,0.2876,0.288,0.962,0
"221","logols",1000,0.01,2,"mean_adj",-0.0018,-0.0018,0.3009,0.3006,0.956,0
"222","logols",1000,0.01,2,"median_adj",-0.0086,-0.0086,0.3009,0.3007,0.954,0
"223","logols",1000,0.01,2,"raw",0.0005,0.0005,0.2933,0.2931,0.968,0
"224","logols",1000,0.01,2,"topcode",0.02,0.02,0.3014,0.3018,0.946,0
"225","logols",1000,0.01,3,"mean_adj",0.0327,0.0327,0.3049,0.3063,0.952,0
"226","logols",1000,0.01,3,"median_adj",0.019,0.019,0.3036,0.3039,0.954,0
"227","logols",1000,0.01,3,"raw",0.0055,0.0055,0.2993,0.2991,0.958,0
"228","logols",1000,0.01,3,"topcode",0.0216,0.0216,0.3038,0.3043,0.958,0
"229","logols",1000,0.05,1,"mean_adj",0.0198,0.0198,0.3356,0.3359,0.958,0
"230","logols",1000,0.05,1,"median_adj",0.0196,0.0196,0.317,0.3173,0.964,0
"231","logols",1000,0.05,1,"raw",0.0156,0.0156,0.3314,0.3315,0.946,0
"232","logols",1000,0.05,1,"topcode",0.0005,0.0005,0.3293,0.3289,0.954,0
"233","logols",1000,0.05,2,"mean_adj",0.0133,0.0133,0.3345,0.3344,0.952,0
"234","logols",1000,0.05,2,"median_adj",0.0185,0.0185,0.3115,0.3117,0.968,0
"235","logols",1000,0.05,2,"raw",0.0306,0.0306,0.3193,0.3204,0.958,0
"236","logols",1000,0.05,2,"topcode",-0.0037,-0.0037,0.3287,0.3284,0.964,0
"237","logols",1000,0.05,3,"mean_adj",0.0038,0.0038,0.3233,0.323,0.966,0
"238","logols",1000,0.05,3,"median_adj",0.0162,0.0162,0.3106,0.3108,0.974,0
"239","logols",1000,0.05,3,"raw",0.0146,0.0146,0.3259,0.3259,0.966,0
"240","logols",1000,0.05,3,"topcode",0.009,0.009,0.3386,0.3383,0.942,0
"241","logols",1000,0.1,1,"mean_adj",0.0181,0.0181,0.3535,0.3536,0.952,0
"242","logols",1000,0.1,1,"median_adj",0.0069,0.0069,0.3234,0.3231,0.97,0
"243","logols",1000,0.1,1,"raw",0.004,0.004,0.3396,0.3393,0.966,0
"244","logols",1000,0.1,1,"topcode",0.0332,0.0332,0.3564,0.3576,0.968,0
"245","logols",1000,0.1,2,"mean_adj",0.0166,0.0166,0.3407,0.3408,0.958,0
"246","logols",1000,0.1,2,"median_adj",0.0585,0.0585,0.3635,0.3678,0.952,0
"247","logols",1000,0.1,2,"raw",-0.0034,-0.0034,0.3634,0.363,0.954,0
"248","logols",1000,0.1,2,"topcode",-0.0041,-0.0041,0.3254,0.3251,0.978,0
"249","logols",1000,0.1,3,"mean_adj",-0.0021,-0.0021,0.3542,0.3538,0.956,0
"250","logols",1000,0.1,3,"median_adj",0.0296,0.0296,0.3623,0.3632,0.946,0
"251","logols",1000,0.1,3,"raw",0.0102,0.0102,0.3599,0.3597,0.97,0
"252","logols",1000,0.1,3,"topcode",0.0203,0.0203,0.3449,0.3452,0.964,0
"253","logols",2000,0.01,1,"mean_adj",0.0205,0.0205,0.2174,0.2182,0.942,0
"254","logols",2000,0.01,1,"median_adj",0.0023,0.0023,0.2229,0.2227,0.934,0
"255","logols",2000,0.01,1,"raw",-0.0082,-0.0082,0.2142,0.2142,0.958,0
"256","logols",2000,0.01,1,"topcode",-0.0139,-0.0139,0.2102,0.2104,0.972,0
"257","logols",2000,0.01,2,"mean_adj",0.008,0.008,0.212,0.2119,0.962,0
"258","logols",2000,0.01,2,"median_adj",0.0217,0.0217,0.2126,0.2135,0.962,0
"259","logols",2000,0.01,2,"raw",0.0054,0.0054,0.2196,0.2195,0.964,0
"260","logols",2000,0.01,2,"topcode",0.0116,0.0116,0.2192,0.2193,0.958,0
"261","logols",2000,0.01,3,"mean_adj",0.028,0.028,0.2156,0.2172,0.942,0
"262","logols",2000,0.01,3,"median_adj",0.0127,0.0127,0.2107,0.2109,0.968,0
"263","logols",2000,0.01,3,"raw",0.0044,0.0044,0.2192,0.2191,0.954,0
"264","logols",2000,0.01,3,"topcode",0.0098,0.0098,0.2144,0.2144,0.958,0
"265","logols",2000,0.05,1,"mean_adj",0.0164,0.0164,0.236,0.2363,0.95,0
"266","logols",2000,0.05,1,"median_adj",-0.0073,-0.0073,0.2116,0.2115,0.974,0
"267","logols",2000,0.05,1,"raw",0.0224,0.0224,0.2386,0.2395,0.962,0
"268","logols",2000,0.05,1,"topcode",0.0152,0.0152,0.2235,0.2238,0.97,0
"269","logols",2000,0.05,2,"mean_adj",0.0212,0.0212,0.217,0.2179,0.966,0
"270","logols",2000,0.05,2,"median_adj",0.0192,0.0192,0.2204,0.221,0.96,0
"271","logols",2000,0.05,2,"raw",0.0071,0.0071,0.2332,0.2331,0.964,0
"272","logols",2000,0.05,2,"topcode",0.0179,0.0179,0.2265,0.227,0.97,0
"273","logols",2000,0.05,3,"mean_adj",0.0087,0.0087,0.2302,0.2302,0.964,0
"274","logols",2000,0.05,3,"median_adj",0.0101,0.0101,0.2299,0.2299,0.952,0
"275","logols",2000,0.05,3,"raw",0.0135,0.0135,0.2336,0.2338,0.946,0
"276","logols",2000,0.05,3,"topcode",0.0083,0.0083,0.2346,0.2345,0.96,0
"277","logols",2000,0.1,1,"mean_adj",0.0134,0.0134,0.2695,0.2696,0.936,0
"278","logols",2000,0.1,1,"median_adj",0.0107,0.0107,0.2476,0.2476,0.958,0
"279","logols",2000,0.1,1,"raw",0.0078,0.0078,0.2547,0.2545,0.948,0
"280","logols",2000,0.1,1,"topcode",0.0028,0.0028,0.2631,0.2629,0.944,0
"281","logols",2000,0.1,2,"mean_adj",-0.0035,-0.0035,0.2593,0.259,0.944,0
"282","logols",2000,0.1,2,"median_adj",-0.0055,-0.0055,0.2531,0.2529,0.952,0
"283","logols",2000,0.1,2,"raw",0.005,0.005,0.2608,0.2606,0.958,0
"284","logols",2000,0.1,2,"topcode",0.0012,0.0012,0.2603,0.2601,0.96,0
"285","logols",2000,0.1,3,"mean_adj",0.0246,0.0246,0.2634,0.2643,0.944,0
"286","logols",2000,0.1,3,"median_adj",0.0114,0.0114,0.2383,0.2384,0.964,0
"287","logols",2000,0.1,3,"raw",0.0257,0.0257,0.2517,0.2527,0.952,0
"288","logols",2000,0.1,3,"topcode",0.0088,0.0088,0.2694,0.2693,0.948,0
"289","logols",5000,0.01,1,"mean_adj",0.0029,0.0029,0.1352,0.1351,0.95,0
"290","logols",5000,0.01,1,"median_adj",0.0095,0.0095,0.1336,0.1338,0.958,0
"291","logols",5000,0.01,1,"raw",0.0089,0.0089,0.137,0.1371,0.966,0
"292","logols",5000,0.01,1,"topcode",0.0027,0.0027,0.1309,0.1308,0.97,0
"293","logols",5000,0.01,2,"mean_adj",0.0181,0.0181,0.1324,0.1335,0.956,0
"294","logols",5000,0.01,2,"median_adj",0.0093,0.0093,0.1339,0.1341,0.95,0
"295","logols",5000,0.01,2,"raw",0.007,0.007,0.1386,0.1386,0.954,0
"296","logols",5000,0.01,2,"topcode",-0.0041,-0.0041,0.1419,0.1418,0.944,0
"297","logols",5000,0.01,3,"mean_adj",0.0017,0.0017,0.1295,0.1293,0.974,0
"298","logols",5000,0.01,3,"median_adj",0.0012,0.0012,0.1309,0.1308,0.964,0
"299","logols",5000,0.01,3,"raw",0.0033,0.0033,0.1347,0.1346,0.958,0
"300","logols",5000,0.01,3,"topcode",0.014,0.014,0.1315,0.1321,0.97,0
"301","logols",5000,0.05,1,"mean_adj",0.0061,0.0061,0.1423,0.1423,0.956,0
"302","logols",5000,0.05,1,"median_adj",0.0042,0.0042,0.1336,0.1335,0.974,0
"303","logols",5000,0.05,1,"raw",0.0131,0.0131,0.1526,0.153,0.952,0
"304","logols",5000,0.05,1,"topcode",0.0079,0.0079,0.1417,0.1417,0.962,0
"305","logols",5000,0.05,2,"mean_adj",0.0096,0.0096,0.1504,0.1506,0.95,0
"306","logols",5000,0.05,2,"median_adj",0.0062,0.0062,0.1497,0.1497,0.958,0
"307","logols",5000,0.05,2,"raw",0.0169,0.0169,0.1494,0.1502,0.96,0
"308","logols",5000,0.05,2,"topcode",0.0082,0.0082,0.1404,0.1405,0.968,0
"309","logols",5000,0.05,3,"mean_adj",0.0114,0.0114,0.1472,0.1475,0.96,0
"310","logols",5000,0.05,3,"median_adj",0.0053,0.0053,0.142,0.142,0.96,0
"311","logols",5000,0.05,3,"raw",0.0058,0.0058,0.1457,0.1457,0.958,0
"312","logols",5000,0.05,3,"topcode",0.0095,0.0095,0.1458,0.146,0.974,0
"313","logols",5000,0.1,1,"mean_adj",0.0027,0.0027,0.164,0.1638,0.948,0
"314","logols",5000,0.1,1,"median_adj",0.0169,0.0169,0.1501,0.1509,0.96,0
"315","logols",5000,0.1,1,"raw",0.0046,0.0046,0.1486,0.1485,0.964,0
"316","logols",5000,0.1,1,"topcode",-0.0006,-0.0006,0.1599,0.1597,0.952,0
"317","logols",5000,0.1,2,"mean_adj",0.0161,0.0161,0.1662,0.1668,0.938,0
"318","logols",5000,0.1,2,"median_adj",0.004,0.004,0.1554,0.1553,0.95,0
"319","logols",5000,0.1,2,"raw",0.0071,0.0071,0.1599,0.1599,0.954,0
"320","logols",5000,0.1,2,"topcode",0.0126,0.0126,0.1616,0.1619,0.954,0
"321","logols",5000,0.1,3,"mean_adj",0.0219,0.0219,0.1634,0.1647,0.96,0
"322","logols",5000,0.1,3,"median_adj",0.0108,0.0108,0.1561,0.1563,0.956,0
"323","logols",5000,0.1,3,"raw",0.0133,0.0133,0.1603,0.1607,0.956,0
"324","logols",5000,0.1,3,"topcode",0.0234,0.0234,0.1721,0.1735,0.948,0
